body,label,lref,lmax,eps
earth,Gravity (EGM2008 geoid),360,103,0.02287000230054513
earth,Gravity (EGM2008 geoid),360,104,0.022639479894157762
earth,Gravity (EGM2008 geoid),360,105,0.022442842861307974
earth,Gravity (EGM2008 geoid),360,106,0.022208554605861602
earth,Gravity (EGM2008 geoid),360,107,0.0219849946658732
earth,Gravity (EGM2008 geoid),360,108,0.02176117138138282
earth,Gravity (EGM2008 geoid),360,109,0.021527258414567287
earth,Gravity (EGM2008 geoid),360,110,0.02127893667522286
earth,Gravity (EGM2008 geoid),360,111,0.021054072525195897
earth,Gravity (EGM2008 geoid),360,112,0.020854610192463
earth,Gravity (EGM2008 geoid),360,113,0.020653361133263316
earth,Gravity (EGM2008 geoid),360,114,0.020414928837100593
earth,Gravity (EGM2008 geoid),360,115,0.020169177182424308
earth,Gravity (EGM2008 geoid),360,116,0.019977644452529836
earth,Gravity (EGM2008 geoid),360,117,0.019769082948132115
earth,Gravity (EGM2008 geoid),360,118,0.019562682448721575
earth,Gravity (EGM2008 geoid),360,119,0.01936896159212339
earth,Gravity (EGM2008 geoid),360,120,0.0191626700347805
earth,Gravity (EGM2008 geoid),360,121,0.01897037645524253
earth,Gravity (EGM2008 geoid),360,122,0.018810637630388715
earth,Gravity (EGM2008 geoid),360,123,0.01860942847300848
earth,Gravity (EGM2008 geoid),360,124,0.018437277327767915
earth,Gravity (EGM2008 geoid),360,125,0.01823397979424835
earth,Gravity (EGM2008 geoid),360,126,0.01804063292785319
earth,Gravity (EGM2008 geoid),360,127,0.01782622719741327
earth,Gravity (EGM2008 geoid),360,128,0.01767337270994501
earth,Gravity (EGM2008 geoid),360,129,0.017500203865049486
earth,Gravity (EGM2008 geoid),360,130,0.01733812996598494
earth,Gravity (EGM2008 geoid),360,131,0.01717643661053695
earth,Gravity (EGM2008 geoid),360,132,0.01702215147530033
earth,Gravity (EGM2008 geoid),360,133,0.016856532282396468
earth,Gravity (EGM2008 geoid),360,134,0.01669909221212113
earth,Gravity (EGM2008 geoid),360,135,0.01654700279343408
earth,Gravity (EGM2008 geoid),360,136,0.016392956241093482
earth,Gravity (EGM2008 geoid),360,137,0.01624213782486992
earth,Gravity (EGM2008 geoid),360,138,0.01605937322427058
earth,Gravity (EGM2008 geoid),360,139,0.015922973341959364
earth,Gravity (EGM2008 geoid),360,140,0.015757833114137445
earth,Gravity (EGM2008 geoid),360,141,0.015609635920403885
earth,Gravity (EGM2008 geoid),360,142,0.015487387403918779
earth,Gravity (EGM2008 geoid),360,143,0.01534864730938342
earth,Gravity (EGM2008 geoid),360,144,0.015209641406692367
earth,Gravity (EGM2008 geoid),360,145,0.015076021091362565
earth,Gravity (EGM2008 geoid),360,146,0.014951093625035416
earth,Gravity (EGM2008 geoid),360,147,0.014817250866193957
earth,Gravity (EGM2008 geoid),360,148,0.014685043476160804
earth,Gravity (EGM2008 geoid),360,149,0.014550540766769112
earth,Gravity (EGM2008 geoid),360,150,0.014430053694543253
earth,Gravity (EGM2008 geoid),360,151,0.014275842517040914
earth,Gravity (EGM2008 geoid),360,152,0.014155869986906856
earth,Gravity (EGM2008 geoid),360,153,0.014024856909683445
earth,Gravity (EGM2008 geoid),360,154,0.013917929550178105
earth,Gravity (EGM2008 geoid),360,155,0.013782585983944764
earth,Gravity (EGM2008 geoid),360,156,0.013650863046547718
earth,Gravity (EGM2008 geoid),360,157,0.013531102641103583
earth,Gravity (EGM2008 geoid),360,158,0.01342578173413105
earth,Gravity (EGM2008 geoid),360,159,0.013301172213533493
earth,Gravity (EGM2008 geoid),360,160,0.013195333868103716
earth,Gravity (EGM2008 geoid),360,161,0.013083570970005093
earth,Gravity (EGM2008 geoid),360,162,0.01296705849574005
earth,Gravity (EGM2008 geoid),360,163,0.012843064722043314
earth,Gravity (EGM2008 geoid),360,164,0.012721549168964143
earth,Gravity (EGM2008 geoid),360,165,0.01259542984058267
earth,Gravity (EGM2008 geoid),360,166,0.012479353577365059
earth,Gravity (EGM2008 geoid),360,167,0.012357334691947818
earth,Gravity (EGM2008 geoid),360,168,0.012232252400725455
earth,Gravity (EGM2008 geoid),360,169,0.0121304613416456
earth,Gravity (EGM2008 geoid),360,170,0.012017594483016269
earth,Gravity (EGM2008 geoid),360,171,0.011902967217602133
earth,Gravity (EGM2008 geoid),360,172,0.011810601488152281
earth,Gravity (EGM2008 geoid),360,173,0.011708928953358838
earth,Gravity (EGM2008 geoid),360,174,0.011583995228541737
earth,Gravity (EGM2008 geoid),360,175,0.011478412714323644
earth,Gravity (EGM2008 geoid),360,176,0.011389686169266335
earth,Gravity (EGM2008 geoid),360,177,0.011291312569960835
earth,Gravity (EGM2008 geoid),360,178,0.011198575368059197
earth,Gravity (EGM2008 geoid),360,179,0.01109126077281922
earth,Gravity (EGM2008 geoid),360,180,0.01098985089029017
earth,Gravity (EGM2008 geoid),360,181,0.010897534615850399
earth,Gravity (EGM2008 geoid),360,182,0.010804277911050271
earth,Gravity (EGM2008 geoid),360,183,0.01071979675170834
earth,Gravity (EGM2008 geoid),360,184,0.010627576977322273
earth,Gravity (EGM2008 geoid),360,185,0.010542360054524566
earth,Gravity (EGM2008 geoid),360,186,0.01045528174236909
earth,Gravity (EGM2008 geoid),360,187,0.010360612878462417
earth,Gravity (EGM2008 geoid),360,188,0.010269034506377549
earth,Gravity (EGM2008 geoid),360,189,0.010188799829082738
earth,Gravity (EGM2008 geoid),360,190,0.010109731206645782
earth,Gravity (EGM2008 geoid),360,191,0.01002414868934061
earth,Gravity (EGM2008 geoid),360,192,0.00992926360074641
earth,Gravity (EGM2008 geoid),360,193,0.009844314323417418
earth,Gravity (EGM2008 geoid),360,194,0.00976843019077963
earth,Gravity (EGM2008 geoid),360,195,0.009686803303280903
earth,Gravity (EGM2008 geoid),360,196,0.00960832154460853
earth,Gravity (EGM2008 geoid),360,197,0.009525614787670672
earth,Gravity (EGM2008 geoid),360,198,0.009442619984060154
earth,Gravity (EGM2008 geoid),360,199,0.009365386299096536
earth,Gravity (EGM2008 geoid),360,200,0.009290448301108941
earth,Gravity (EGM2008 geoid),360,201,0.009213139465318631
earth,Gravity (EGM2008 geoid),360,202,0.009137384462543948
earth,Gravity (EGM2008 geoid),360,203,0.009063394884954116
earth,Gravity (EGM2008 geoid),360,204,0.008990622624117532
earth,Gravity (EGM2008 geoid),360,205,0.008924140063332985
earth,Gravity (EGM2008 geoid),360,206,0.008852059809464465
earth,Gravity (EGM2008 geoid),360,207,0.008782245875541592
earth,Gravity (EGM2008 geoid),360,208,0.00870978152029481
earth,Gravity (EGM2008 geoid),360,209,0.008641568533573157
earth,Gravity (EGM2008 geoid),360,210,0.00856090332298926
earth,Gravity (EGM2008 geoid),360,211,0.008487977545380753
earth,Gravity (EGM2008 geoid),360,212,0.0084155188967178
earth,Gravity (EGM2008 geoid),360,213,0.00834785187152074
earth,Gravity (EGM2008 geoid),360,214,0.00827219234381278
earth,Gravity (EGM2008 geoid),360,215,0.008203205470981112
earth,Gravity (EGM2008 geoid),360,216,0.008133452566072513
earth,Gravity (EGM2008 geoid),360,217,0.00806447519890781
earth,Gravity (EGM2008 geoid),360,218,0.007999158276490387
earth,Gravity (EGM2008 geoid),360,219,0.007922690757618126
earth,Gravity (EGM2008 geoid),360,220,0.00785500592241482
earth,Gravity (EGM2008 geoid),360,221,0.007789157470273782
earth,Gravity (EGM2008 geoid),360,222,0.007726137201796571
earth,Gravity (EGM2008 geoid),360,223,0.007662592307897971
earth,Gravity (EGM2008 geoid),360,224,0.007602852535508848
earth,Gravity (EGM2008 geoid),360,225,0.007542968940506346
earth,Gravity (EGM2008 geoid),360,226,0.007481202031927753
earth,Gravity (EGM2008 geoid),360,227,0.007423881113751292
earth,Gravity (EGM2008 geoid),360,228,0.007363882320163419
earth,Gravity (EGM2008 geoid),360,229,0.007299381248854099
earth,Gravity (EGM2008 geoid),360,230,0.007238794146148731
earth,Gravity (EGM2008 geoid),360,231,0.007172929788702234
earth,Gravity (EGM2008 geoid),360,232,0.007106178325964235
earth,Gravity (EGM2008 geoid),360,233,0.007045054364347485
earth,Gravity (EGM2008 geoid),360,234,0.006980089277404572
earth,Gravity (EGM2008 geoid),360,235,0.006917517192967079
earth,Gravity (EGM2008 geoid),360,236,0.006856857484589464
earth,Gravity (EGM2008 geoid),360,237,0.006796461934387634
earth,Gravity (EGM2008 geoid),360,238,0.006736687230180332
earth,Gravity (EGM2008 geoid),360,239,0.006679228223788898
earth,Gravity (EGM2008 geoid),360,240,0.006618997918094484
earth,Gravity (EGM2008 geoid),360,241,0.006557670894894383
earth,Gravity (EGM2008 geoid),360,242,0.0065008362477431275
earth,Gravity (EGM2008 geoid),360,243,0.00644838184694238
earth,Gravity (EGM2008 geoid),360,244,0.006397594466469496
earth,Gravity (EGM2008 geoid),360,245,0.006339839291664014
earth,Gravity (EGM2008 geoid),360,246,0.006280687374864528
earth,Gravity (EGM2008 geoid),360,247,0.006229972249167299
earth,Gravity (EGM2008 geoid),360,248,0.006183573230172163
earth,Gravity (EGM2008 geoid),360,249,0.006133054889608069
earth,Gravity (EGM2008 geoid),360,250,0.006074794511774235
earth,Gravity (EGM2008 geoid),360,251,0.006021962342821527
earth,Gravity (EGM2008 geoid),360,252,0.005964210520947181
earth,Gravity (EGM2008 geoid),360,253,0.005910393805551616
earth,Gravity (EGM2008 geoid),360,254,0.0058626784718089015
earth,Gravity (EGM2008 geoid),360,255,0.005811805595412694
earth,Gravity (EGM2008 geoid),360,256,0.005759296300297294
earth,Gravity (EGM2008 geoid),360,257,0.005710395855336041
earth,Gravity (EGM2008 geoid),360,258,0.005662887788989749
earth,Gravity (EGM2008 geoid),360,259,0.00561297346943723
earth,Gravity (EGM2008 geoid),360,260,0.005562669961538825
earth,Gravity (EGM2008 geoid),360,261,0.005509824056165113
earth,Gravity (EGM2008 geoid),360,262,0.00546639810132865
earth,Gravity (EGM2008 geoid),360,263,0.005417298478025179
earth,Gravity (EGM2008 geoid),360,264,0.005374892227583574
earth,Gravity (EGM2008 geoid),360,265,0.005331351520871911
earth,Gravity (EGM2008 geoid),360,266,0.0052852031864421495
earth,Gravity (EGM2008 geoid),360,267,0.005238639881417467
earth,Gravity (EGM2008 geoid),360,268,0.0051937502036671235
earth,Gravity (EGM2008 geoid),360,269,0.005151342062147997
earth,Gravity (EGM2008 geoid),360,270,0.005108374639759964
earth,Gravity (EGM2008 geoid),360,271,0.005060720813468078
earth,Gravity (EGM2008 geoid),360,272,0.005011799733019939
earth,Gravity (EGM2008 geoid),360,273,0.0049686474809485315
earth,Gravity (EGM2008 geoid),360,274,0.0049178383838057085
earth,Gravity (EGM2008 geoid),360,275,0.004875705552994024
earth,Gravity (EGM2008 geoid),360,276,0.004829055261739639
earth,Gravity (EGM2008 geoid),360,277,0.00478693984098947
earth,Gravity (EGM2008 geoid),360,278,0.004738382698429954
earth,Gravity (EGM2008 geoid),360,279,0.004690369353379736
earth,Gravity (EGM2008 geoid),360,280,0.004646278981870248
earth,Gravity (EGM2008 geoid),360,281,0.004598885107007833
earth,Gravity (EGM2008 geoid),360,282,0.00454898424041841
earth,Gravity (EGM2008 geoid),360,283,0.004501485120729208
earth,Gravity (EGM2008 geoid),360,284,0.004462403890811751
earth,Gravity (EGM2008 geoid),360,285,0.004419244417219357
earth,Gravity (EGM2008 geoid),360,286,0.004374435559781632
earth,Gravity (EGM2008 geoid),360,287,0.00433677167446372
earth,Gravity (EGM2008 geoid),360,288,0.004294291687114949
earth,Gravity (EGM2008 geoid),360,289,0.004253221874392022
earth,Gravity (EGM2008 geoid),360,290,0.00420893140906792
earth,Gravity (EGM2008 geoid),360,291,0.004164674114834795
earth,Gravity (EGM2008 geoid),360,292,0.00411903708363019
earth,Gravity (EGM2008 geoid),360,293,0.0040750335257239995
earth,Gravity (EGM2008 geoid),360,294,0.004029728447983194
earth,Gravity (EGM2008 geoid),360,295,0.003983428356338106
earth,Gravity (EGM2008 geoid),360,296,0.003940520067113479
