field,l_useful_perdegree,l_useful_cumulative,l_nominal,snr_below_10_deg,snr_below_2_deg,noise_proxy,notes
gravity_EGM2008,1787,1573,2190,879,1456,calibrated_errors_icgem,"EGM2008 lmax=2190 geoid spectrum; calibrated errors from ICGEM; l_min=2 (degrees 0,1 excluded from geoid); cross-check max rel diff=4.6333e-16"
magnetic_IGRF13,,,13,,,5yr_SV_IGRF13_2020_2025,IGRF-13 lmax=13; signal=4pi degree variance 2020.0; noise=5-yr SV power (2025.0-2020.0); l_min=1; blank l_useful and snr_below_10/2 mean None (signal-dominated across the band)
